game,wins
qoo_2,25
qoo_2,26
qoo_2,23
qoo_2,19
qoo_2,24
qoo_2,22
qoo_2,25
qoo_2,19
qoo_2,27
qoo_2,18
qoo_2,19
qoo_2,30
qoo_2,23
qoo_2,28
qoo_2,23
qoo_2,19
qoo_2,18
qoo_2,25
qoo_2,22
qoo_2,22
qoo_2,17
qoo_2,22
qoo_2,25
qoo_2,22
qoo_2,24
qoo_2,27
qoo_2,15
qoo_2,21
qoo_2,21
qoo_2,23
qoo_2,19
qoo_2,28
qoo_2,28
qoo_2,20
qoo_2,20
qoo_2,19
qoo_2,21
qoo_2,28
qoo_2,20
qoo_2,15
qoo_2,21
qoo_2,19
qoo_2,26
qoo_2,18
qoo_2,23
qoo_2,21
qoo_2,28
qoo_2,22
qoo_2,26
qoo_2,26
qoo_2,19
qoo_2,22
qoo_2,30
qoo_2,24
qoo_2,15
qoo_2,27
qoo_2,24
qoo_2,21
qoo_2,23
qoo_2,27
qoo_2,23
qoo_2,27
qoo_2,22
qoo_2,23
qoo_2,25
qoo_2,22
qoo_2,20
qoo_2,17
qoo_2,24
qoo_2,30
qoo_2,22
qoo_2,14
qoo_2,30
qoo_2,28
brr,97
brr,98
brr,99
brr,99
brr,99
brr,97
brr,96
brr,97
brr,96
brr,97
brr,98
brr,98
brr,98
brr,98
brr,100
brr,96
brr,96
brr,100
brr,97
brr,98
brr,100
brr,98
brr,99
brr,98
brr,98
brr,99
brr,99
brr,98
brr,96
brr,99
brr,99
brr,96
brr,99
brr,98
brr,100
brr,98
brr,98
brr,98
brr,96
brr,98
brr,97
brr,100
brr,99
brr,96
brr,99
brr,100
brr,98
brr,97
brr,99
brr,97
brr,97
brr,99
brr,97
brr,95
brr,98
brr,99
brr,99
brr,100
brr,97
brr,98
brr,98
brr,95
brr,98
brr,100
brr,98
brr,99
brr,98
brr,97
brr,97
brr,98
brr,98
brr,99
brr,96
brr,99
brr,99
brr,99
brr,98
brr,97
brr,99
brr,97
brr,96
brr,99
brr,96
brr,97
brr,99
brr,98
brr,98
brr,96
brr,99
brr,95
brr,97
brr,98
brr,96
brr,98
brr,99
brr,96
brr,95
brr,99
brr,95
brr,93
bhh,38
bhh,46
bhh,43
bhh,29
bhh,40
bhh,38
bhh,42
bhh,48
bhh,44
bhh,37
bhh,41
bhh,43
bhh,42
bhh,45
bhh,48
bhh,33
bhh,45
bhh,54
bhh,47
bhh,38
bhh,43
bhh,48
bhh,37
bhh,44
bhh,44
bhh,38
bhh,48
bhh,42
bhh,38
bhh,41
bhh,42
bhh,47
bhh,39
bhh,38
bhh,46
bhh,45
bhh,46
bhh,45
bhh,44
bhh,44
bhh,37
bhh,34
bhh,48
bhh,40
bhh,40
bhh,38
bhh,44
bhh,40
bhh,41
bhh,44
bhh,41
bhh,46
bhh,36
bhh,36
bhh,47
bhh,43
bhh,46
bhh,44
bhh,37
bhh,47
bhh,43
bhh,44
bhh,51
bhh,50
bhh,40
bhh,42
bhh,51
bhh,49
bhh,41
bhh,48
bhh,41
bhh,48
bhh,50
bhh,51
bhh,44
bhh,44
bhh,46
bhh,43
bhh,43
bhh,46
bhh,45
bhh,40
bhh,38
bhh,39
bhh,44
bhh,47
bhh,40
bhh,45
bhh,44
bhh,51
bhh,48
bhh,45
bhh,44
bhh,38
bhh,41
bhh,51
bhh,50
bhh,52
bhh,41
bhh,45
boo,8
boo,6
boo,5
boo,8
boo,4
boo,4
boo,3
boo,8
boo,6
boo,4
boo,6
boo,8
boo,12
boo,4
boo,5
boo,6
boo,4
boo,3
boo,5
boo,8
boo,4
boo,2
boo,4
boo,6
boo,7
boo,5
boo,5
boo,5
boo,5
boo,3
boo,6
boo,1
boo,6
boo,6
boo,4
boo,7
boo,7
boo,4
boo,6
boo,5
boo,5
boo,5
boo,4
boo,8
boo,3
boo,0
boo,6
boo,9
boo,5
boo,5
boo,3
boo,7
boo,8
boo,5
boo,6
boo,6
boo,3
boo,5
boo,9
boo,9
boo,2
boo,5
boo,1
boo,6
boo,1
boo,5
boo,7
boo,7
boo,6
boo,4
boo,5
boo,8
boo,2
boo,6
boo,3
boo,5
boo,7
boo,7
boo,8
boo,3
boo,5
boo,6
boo,2
boo,6
boo,3
boo,6
boo,10
boo,9
boo,4
boo,4
boo,4
boo,7
boo,7
boo,6
boo,4
boo,4
boo,10
boo,8
boo,6
boo,4
